Problem_Size,num_ranks,time,type
192,2,1.39,blocking
192,2,1.07,blocking
192,2,1.04,blocking
192,2,1.08,blocking
192,2,1.06,blocking
192,4,0.92,blocking
192,4,0.83,blocking
192,4,0.82,blocking
192,4,0.85,blocking
192,4,0.86,blocking
192,8,0.86,blocking
192,8,0.83,blocking
192,8,0.79,blocking
192,8,0.82,blocking
192,8,0.90,blocking
192,16,0.92,blocking
192,16,0.98,blocking
192,16,0.92,blocking
192,16,0.93,blocking
192,16,0.94,blocking
192,32,1.02,blocking
192,32,1.01,blocking
192,32,0.99,blocking
192,32,0.95,blocking
192,32,1.00,blocking
192,48,1.01,blocking
192,48,1.01,blocking
192,48,1.00,blocking
192,48,0.96,blocking
192,48,0.99,blocking
192,64,1.06,blocking
192,64,1.08,blocking
192,64,1.05,blocking
192,64,1.03,blocking
192,64,1.00,blocking
192,96,1.03,blocking
192,96,1.01,blocking
192,96,1.01,blocking
192,96,1.02,blocking
192,96,0.98,blocking
384,2,4.57,blocking
384,2,4.71,blocking
384,2,4.70,blocking
384,2,4.70,blocking
384,2,4.63,blocking
384,4,2.89,blocking
384,4,2.71,blocking
384,4,2.73,blocking
384,4,2.81,blocking
384,4,3.10,blocking
384,8,1.95,blocking
384,8,2.02,blocking
384,8,1.99,blocking
384,8,1.95,blocking
384,8,1.95,blocking
384,16,1.80,blocking
384,16,1.79,blocking
384,16,1.84,blocking
384,16,1.86,blocking
384,16,1.83,blocking
384,32,1.62,blocking
384,32,1.64,blocking
384,32,1.63,blocking
384,32,1.63,blocking
384,32,1.65,blocking
384,48,1.61,blocking
384,48,1.59,blocking
384,48,1.61,blocking
384,48,1.59,blocking
384,48,1.84,blocking
384,64,1.54,blocking
384,64,1.50,blocking
384,64,1.48,blocking
384,64,1.53,blocking
384,64,1.50,blocking
384,96,1.55,blocking
384,96,1.51,blocking
384,96,1.68,blocking
384,96,1.51,blocking
384,96,1.51,blocking
576,2,14.84,blocking
576,2,14.74,blocking
576,2,14.78,blocking
576,2,14.65,blocking
576,2,14.95,blocking
576,4,8.04,blocking
576,4,7.94,blocking
576,4,7.74,blocking
576,4,7.80,blocking
576,4,7.71,blocking
576,8,5.25,blocking
576,8,4.97,blocking
576,8,5.19,blocking
576,8,5.03,blocking
576,8,5.31,blocking
576,16,4.03,blocking
576,16,4.15,blocking
576,16,4.15,blocking
576,16,4.13,blocking
576,16,3.93,blocking
576,32,2.64,blocking
576,32,2.58,blocking
576,32,2.74,blocking
576,32,2.71,blocking
576,32,2.56,blocking
576,48,2.34,blocking
576,48,2.31,blocking
576,48,2.32,blocking
576,48,2.30,blocking
576,48,2.31,blocking
576,64,2.57,blocking
576,64,2.38,blocking
576,64,2.62,blocking
576,64,2.34,blocking
576,64,2.38,blocking
576,96,2.21,blocking
576,96,2.22,blocking
576,96,2.24,blocking
576,96,2.25,blocking
576,96,2.26,blocking
768,2,34.95,blocking
768,2,35.50,blocking
768,2,35.29,blocking
768,2,33.80,blocking
768,2,34.83,blocking
768,4,17.59,blocking
768,4,17.70,blocking
768,4,17.61,blocking
768,4,17.65,blocking
768,4,17.97,blocking
768,8,11.03,blocking
768,8,11.41,blocking
768,8,10.90,blocking
768,8,11.13,blocking
768,8,10.98,blocking
768,16,8.75,blocking
768,16,8.78,blocking
768,16,9.21,blocking
768,16,8.97,blocking
768,16,8.89,blocking
768,32,4.96,blocking
768,32,4.99,blocking
768,32,4.98,blocking
768,32,5.06,blocking
768,32,5.00,blocking
768,48,4.04,blocking
768,48,3.96,blocking
768,48,4.32,blocking
768,48,4.17,blocking
768,48,3.99,blocking
768,64,3.61,blocking
768,64,3.63,blocking
768,64,3.56,blocking
768,64,3.55,blocking
768,64,3.54,blocking
768,96,3.20,blocking
768,96,3.31,blocking
768,96,3.37,blocking
768,96,3.16,blocking
768,96,3.15,blocking
192,2,1.07,non-blocking
192,2,1.23,non-blocking
192,2,1.02,non-blocking
192,2,1.08,non-blocking
192,2,0.98,non-blocking
192,4,0.85,non-blocking
192,4,0.86,non-blocking
192,4,0.82,non-blocking
192,4,0.84,non-blocking
192,4,0.82,non-blocking
192,8,0.77,non-blocking
192,8,0.78,non-blocking
192,8,0.92,non-blocking
192,8,0.84,non-blocking
192,8,0.81,non-blocking
192,16,0.84,non-blocking
192,16,0.85,non-blocking
192,16,0.85,non-blocking
192,16,0.79,non-blocking
192,16,0.82,non-blocking
192,32,0.89,non-blocking
192,32,0.90,non-blocking
192,32,0.89,non-blocking
192,32,0.82,non-blocking
192,32,0.89,non-blocking
192,48,0.93,non-blocking
192,48,0.87,non-blocking
192,48,0.88,non-blocking
192,48,0.87,non-blocking
192,48,0.94,non-blocking
192,64,0.95,non-blocking
192,64,0.91,non-blocking
192,64,0.92,non-blocking
192,64,0.92,non-blocking
192,64,0.92,non-blocking
192,96,0.94,non-blocking
192,96,0.89,non-blocking
192,96,0.95,non-blocking
192,96,0.93,non-blocking
192,96,0.92,non-blocking
384,2,4.59,non-blocking
384,2,4.74,non-blocking
384,2,4.78,non-blocking
384,2,4.59,non-blocking
384,2,4.61,non-blocking
384,4,2.96,non-blocking
384,4,2.76,non-blocking
384,4,2.68,non-blocking
384,4,2.70,non-blocking
384,4,2.88,non-blocking
384,8,2.04,non-blocking
384,8,1.94,non-blocking
384,8,2.06,non-blocking
384,8,1.88,non-blocking
384,8,1.92,non-blocking
384,16,1.57,non-blocking
384,16,1.47,non-blocking
384,16,1.51,non-blocking
384,16,1.55,non-blocking
384,16,1.57,non-blocking
384,32,1.44,non-blocking
384,32,1.40,non-blocking
384,32,1.29,non-blocking
384,32,1.60,non-blocking
384,32,1.52,non-blocking
384,48,1.39,non-blocking
384,48,1.29,non-blocking
384,48,1.29,non-blocking
384,48,1.28,non-blocking
384,48,1.27,non-blocking
