Problem_Size,time
1000,0.911015
1000,0.908832
1000,0.909007
1000,0.908920
1000,0.908785
1000,0.908869
1000,0.909504
1000,0.909366
1000,0.913382
1000,0.909511
2000,3.638049
2000,3.637282
2000,3.636620
2000,3.634457
2000,3.636949
2000,3.638238
2000,3.635751
2000,3.651215
2000,3.634965
2000,3.634948
3000,8.183813
3000,8.181427
3000,8.180690
3000,8.181714
3000,8.183531
3000,8.182584
3000,8.185825
3000,8.192689
3000,8.188988
3000,8.190459
4000,14.570131
4000,14.578094
4000,14.583388
4000,14.561558
4000,14.565898
4000,14.585478
4000,14.573726
4000,14.559441
4000,14.561655
4000,14.558600
5000,22.788721
5000,22.770024
5000,22.795274
5000,22.786685
5000,22.776872
5000,22.774025
5000,22.779290
5000,22.771077
5000,22.790982
5000,22.778739
