Problem_Size,time,num_ranks
1000,1.18,1
1000,1.12,1
1000,1.12,1
1000,1.11,1
1000,1.11,1
1000,1.79,2
1000,1.56,2
1000,1.55,2
1000,1.54,2
1000,1.56,2
1000,1.12,4
1000,1.16,4
1000,1.13,4
1000,1.09,4
1000,1.18,4
1000,0.98,8
1000,1.01,8
1000,0.99,8
1000,1.01,8
1000,1.06,8
1000,0.95,16
1000,0.97,16
1000,0.99,16
1000,0.96,16
1000,0.96,16
1000,0.96,32
1000,0.93,32
1000,0.97,32
1000,1.04,32
1000,0.95,32
1000,0.92,64
1000,0.90,64
1000,0.93,64
1000,0.93,64
1000,1.03,64
1000,0.95,96
1000,0.91,96
1000,0.91,96
1000,0.89,96
1000,0.94,96
2500,6.17,1
2500,6.19,1
2500,6.13,1
2500,6.21,1
2500,6.20,1
2500,6.68,2
2500,6.43,2
2500,6.44,2
2500,6.51,2
2500,6.49,2
2500,3.70,4
2500,3.72,4
2500,3.70,4
2500,3.67,4
2500,3.73,4
2500,2.48,8
2500,2.44,8
2500,2.45,8
2500,2.42,8
2500,2.59,8
2500,1.83,16
2500,1.81,16
2500,1.82,16
2500,1.82,16
2500,1.84,16
2500,1.55,32
2500,1.52,32
2500,1.61,32
2500,1.52,32
2500,1.55,32
2500,1.36,64
2500,1.30,64
2500,1.37,64
2500,1.33,64
2500,1.32,64
2500,1.31,96
2500,1.31,96
2500,1.31,96
2500,1.28,96
2500,1.30,96
5000,23.78,1
5000,23.85,1
5000,23.74,1
5000,23.82,1
5000,23.77,1
5000,24.03,2
5000,23.91,2
5000,23.86,2
5000,24.12,2
5000,24.26,2
5000,12.56,4
5000,12.62,4
5000,12.51,4
5000,12.51,4
5000,12.53,4
5000,7.16,8
5000,7.17,8
5000,7.30,8
5000,7.12,8
5000,7.16,8
5000,4.36,16
5000,4.39,16
5000,4.34,16
5000,4.41,16
5000,4.38,16
5000,3.00,32
5000,2.97,32
5000,2.91,32
5000,2.97,32
5000,2.96,32
5000,2.25,64
5000,2.46,64
5000,2.26,64
5000,2.26,64
5000,2.20,64
5000,2.00,96
5000,2.01,96
5000,2.00,96
5000,1.99,96
5000,1.95,96
7500,52.64,1
7500,52.88,1
7500,52.85,1
7500,52.83,1
7500,52.97,1
7500,52.74,2
7500,52.89,2
7500,53.05,2
7500,52.85,2
7500,52.76,2
7500,27.08,4
7500,27.24,4
7500,27.36,4
7500,27.40,4
7500,27.20,4
7500,14.76,8
7500,14.74,8
7500,14.84,8
7500,14.98,8
7500,14.85,8
7500,8.36,16
7500,8.30,16
7500,8.30,16
7500,8.38,16
7500,8.51,16
7500,5.06,32
7500,5.07,32
7500,5.08,32
7500,5.11,32
7500,5.16,32
7500,3.55,64
7500,3.53,64
7500,3.53,64
7500,3.69,64
7500,3.47,64
7500,2.96,96
7500,2.95,96
7500,2.92,96
7500,3.13,96
7500,2.88,96
