Problem_Size,time,num_ranks
1000,1.27,1
1000,1.07,6
1000,0.89,12
1000,0.90,24
1000,0.91,36
1000,0.97,48
1000,0.91,60
1000,0.96,96
1000,1.22,1
1000,0.84,6
1000,0.89,12
1000,0.95,24
1000,0.94,36
1000,0.94,48
1000,0.93,60
1000,0.93,96
1000,1.35,1
1000,0.84,6
1000,0.88,12
1000,0.95,24
1000,0.86,36
1000,0.87,48
1000,0.94,60
1000,0.95,96
1000,1.25,1
1000,0.89,6
1000,0.83,12
1000,0.92,24
1000,0.87,36
1000,0.95,48
1000,0.99,60
1000,0.90,96
1000,1.28,1
1000,0.89,6
1000,0.87,12
1000,0.88,24
1000,0.92,36
1000,0.92,48
1000,0.92,60
1000,0.94,96
2000,4.20,1
2000,1.32,6
2000,1.20,12
2000,1.10,24
2000,1.08,36
2000,1.01,48
2000,1.08,60
2000,0.99,96
2000,4.17,1
2000,1.30,6
2000,1.20,12
2000,1.03,24
2000,1.04,36
2000,1.07,48
2000,1.04,60
2000,1.22,96
2000,4.16,1
2000,1.24,6
2000,1.13,12
2000,1.10,24
2000,1.04,36
2000,1.03,48
2000,1.06,60
2000,1.00,96
2000,4.16,1
2000,1.29,6
2000,1.15,12
2000,1.09,24
2000,1.02,36
2000,1.04,48
2000,1.04,60
2000,1.01,96
2000,4.17,1
2000,1.28,6
2000,1.19,12
2000,1.02,24
2000,1.03,36
2000,1.03,48
2000,1.08,60
2000,0.98,96
3000,8.94,1
3000,1.89,6
3000,1.53,12
3000,1.26,24
3000,1.28,36
3000,1.15,48
3000,1.14,60
3000,1.05,96
3000,8.93,1
3000,2.07,6
3000,1.55,12
3000,1.40,24
3000,1.16,36
3000,1.10,48
3000,1.08,60
3000,1.08,96
3000,8.95,1
3000,1.95,6
3000,1.51,12
3000,1.38,24
3000,1.21,36
3000,1.08,48
3000,1.11,60
3000,1.14,96
3000,8.89,1
3000,2.00,6
3000,1.77,12
3000,1.37,24
3000,1.10,36
3000,1.09,48
3000,1.12,60
3000,1.03,96
3000,8.90,1
3000,1.90,6
3000,1.83,12
3000,1.21,24
3000,1.32,36
3000,1.18,48
3000,1.07,60
3000,1.02,96
4000,15.55,1
4000,2.85,6
4000,1.99,12
4000,1.54,24
4000,1.44,36
4000,1.25,48
4000,1.21,60
4000,1.14,96
4000,15.50,1
4000,2.92,6
4000,1.97,12
4000,1.63,24
4000,1.41,36
4000,1.33,48
4000,1.28,60
4000,1.13,96
4000,15.53,1
4000,3.01,6
4000,1.94,12
4000,1.50,24
4000,1.35,36
4000,1.30,48
4000,1.37,60
4000,1.19,96
4000,15.49,1
4000,2.85,6
4000,2.06,12
4000,1.48,24
4000,1.34,36
4000,1.31,48
4000,1.26,60
4000,1.16,96
4000,15.47,1
4000,2.91,6
4000,2.03,12
4000,1.50,24
4000,1.48,36
4000,1.38,48
4000,1.32,60
4000,1.16,96
5000,23.89,1
5000,4.04,6
5000,2.87,12
5000,2.11,24
5000,1.57,36
5000,1.51,48
5000,1.44,60
5000,1.27,96
5000,23.91,1
5000,4.22,6
5000,2.70,12
5000,1.91,24
5000,1.65,36
5000,1.53,48
5000,1.41,60
5000,1.25,96
5000,24.01,1
5000,3.99,6
5000,2.64,12
5000,2.27,24
5000,1.94,36
5000,1.65,48
5000,1.38,60
5000,1.47,96
5000,24.01,1
5000,4.17,6
5000,2.61,12
5000,1.96,24
5000,1.58,36
5000,1.60,48
5000,1.37,60
5000,1.30,96
5000,23.98,1
5000,4.05,6
5000,2.65,12
5000,1.91,24
5000,1.56,36
5000,1.50,48
5000,1.46,60
5000,1.27,96
10000,93.73,1
10000,13.69,6
10000,8.73,12
10000,4.63,24
10000,3.58,36
10000,3.28,48
10000,2.63,60
10000,2.12,96
10000,93.42,1
10000,13.72,6
10000,7.56,12
10000,4.41,24
10000,3.49,36
10000,3.27,48
10000,2.80,60
10000,2.15,96
10000,93.44,1
10000,13.70,6
10000,7.56,12
10000,4.44,24
10000,3.49,36
10000,2.91,48
10000,2.58,60
10000,2.31,96
10000,93.39,1
10000,13.77,6
10000,9.17,12
10000,4.60,24
10000,3.50,36
10000,3.25,48
10000,2.89,60
10000,2.26,96
10000,93.76,1
10000,13.80,6
10000,7.51,12
10000,4.68,24
10000,3.33,36
10000,2.94,48
10000,2.63,60
10000,2.15,96
