Problem_Size,time,num_ranks
1000,1.15,1
1000,1.12,1
1000,1.11,1
1000,1.12,1
1000,1.12,1
1000,1.77,2
1000,1.63,2
1000,1.58,2
1000,1.61,2
1000,1.60,2
1000,1.16,4
1000,1.17,4
1000,1.17,4
1000,1.17,4
1000,1.15,4
1000,1.04,8
1000,1.02,8
1000,0.99,8
1000,1.04,8
1000,0.99,8
1000,1.01,16
1000,1.02,16
1000,1.07,16
1000,1.01,16
1000,1.02,16
1000,1.01,32
1000,1.06,32
1000,1.03,32
1000,0.99,32
1000,0.96,32
1000,0.98,64
1000,0.97,64
1000,0.97,64
1000,0.99,64
1000,1.01,64
1000,0.96,96
1000,0.96,96
1000,1.10,96
1000,0.99,96
1000,1.01,96
2500,6.20,1
2500,6.17,1
2500,6.13,1
2500,6.18,1
2500,6.17,1
2500,6.79,2
2500,6.63,2
2500,6.62,2
2500,6.59,2
2500,6.56,2
2500,3.81,4
2500,3.78,4
2500,3.81,4
2500,3.79,4
2500,3.84,4
2500,2.52,8
2500,2.51,8
2500,2.50,8
2500,2.54,8
2500,2.70,8
2500,1.88,16
2500,1.95,16
2500,1.94,16
2500,1.97,16
2500,1.97,16
2500,1.60,32
2500,1.64,32
2500,1.58,32
2500,1.61,32
2500,1.57,32
2500,1.43,64
2500,1.45,64
2500,1.47,64
2500,1.39,64
2500,1.42,64
2500,1.45,96
2500,1.45,96
2500,1.39,96
2500,1.39,96
2500,1.36,96
5000,23.61,1
5000,23.75,1
5000,23.78,1
5000,23.73,1
5000,23.82,1
5000,24.17,2
5000,24.35,2
5000,24.10,2
5000,24.18,2
5000,24.02,2
5000,12.72,4
5000,12.91,4
5000,12.80,4
5000,12.79,4
5000,12.79,4
5000,7.38,8
5000,7.44,8
5000,7.55,8
5000,7.32,8
5000,7.45,8
5000,4.55,16
5000,4.59,16
5000,5.34,16
5000,4.60,16
5000,4.59,16
5000,3.20,32
5000,3.18,32
5000,3.16,32
5000,3.17,32
5000,3.24,32
5000,2.64,64
5000,2.46,64
5000,2.49,64
5000,2.49,64
5000,2.84,64
5000,2.42,96
5000,2.20,96
5000,2.16,96
5000,2.20,96
5000,2.17,96
7500,52.57,1
7500,52.63,1
7500,52.67,1
7500,52.59,1
7500,52.62,1
7500,53.00,2
7500,52.90,2
7500,53.04,2
7500,52.86,2
7500,52.89,2
7500,27.44,4
7500,27.50,4
7500,27.37,4
7500,27.32,4
7500,27.61,4
7500,15.23,8
7500,15.17,8
7500,15.15,8
7500,15.38,8
7500,15.21,8
7500,8.64,16
7500,8.69,16
7500,8.66,16
7500,8.66,16
7500,8.84,16
7500,5.41,32
7500,5.38,32
7500,5.39,32
7500,5.44,32
7500,5.39,32
7500,3.82,64
7500,3.78,64
7500,3.75,64
7500,3.79,64
7500,3.77,64
7500,3.24,96
7500,3.24,96
7500,3.42,96
7500,3.26,96
7500,3.24,96
