num_ranks,average_time,total_bandwidth,type
2,0.110195,2323.144784,individual_files
2,0.180438,1418.767743,individual_pointers
2,0.169307,1512.046308,shared_pointers_non-collective
2,0.152320,1680.669008,shared_pointers_collective
2,0.189982,1347.496667,hybrid
2,0.080047,3198.125858,individual_files
2,0.152707,1676.409092,individual_pointers
2,0.153108,1672.019977,shared_pointers_non-collective
2,0.159220,1607.834485,shared_pointers_collective
2,0.186485,1372.762964,hybrid
2,0.083745,3056.905034,individual_files
2,0.157997,1620.279284,individual_pointers
2,0.166777,1534.984278,shared_pointers_non-collective
2,0.170381,1502.512408,shared_pointers_collective
2,0.198718,1288.258053,hybrid
2,0.071067,3602.240948,individual_files
2,0.158864,1611.439382,individual_pointers
2,0.144319,1773.853269,shared_pointers_non-collective
2,0.164350,1557.656045,shared_pointers_collective
2,0.185416,1380.681460,hybrid
2,0.076797,3333.480019,individual_files
2,0.175050,1462.441993,individual_pointers
2,0.172765,1481.777365,shared_pointers_non-collective
2,0.174208,1469.507702,shared_pointers_collective
2,0.185463,1380.331861,hybrid
4,0.085425,5993.566743,individual_files
4,0.212412,2410.415232,individual_pointers
4,0.209384,2445.264346,shared_pointers_non-collective
4,0.303048,1689.499970,shared_pointers_collective
4,0.296837,1724.855122,hybrid
4,0.092257,5549.732131,individual_files
4,0.205677,2489.341652,individual_pointers
4,0.230011,2225.979611,shared_pointers_non-collective
4,0.332651,1539.150607,shared_pointers_collective
4,0.332444,1540.109583,hybrid
4,0.088712,5771.463526,individual_files
4,0.202585,2527.331448,individual_pointers
4,0.210689,2430.117414,shared_pointers_non-collective
4,0.318026,1609.933287,shared_pointers_collective
4,0.305254,1677.291851,hybrid
4,0.080426,6366.130574,individual_files
4,0.203857,2511.562723,individual_pointers
4,0.212808,2405.923284,shared_pointers_non-collective
4,0.317107,1614.594738,shared_pointers_collective
4,0.298078,1717.673887,hybrid
4,0.094332,5427.648838,individual_files
4,0.190769,2683.876799,individual_pointers
4,0.208844,2451.594335,shared_pointers_non-collective
4,0.317248,1613.878383,shared_pointers_collective
4,0.300721,1702.576192,hybrid
8,0.143730,7124.469256,individual_files
8,0.374524,2734.134374,individual_pointers
8,0.374550,2733.949509,shared_pointers_non-collective
8,0.622025,1646.235420,shared_pointers_collective
8,0.534234,1916.762049,hybrid
8,0.148717,6885.546692,individual_files
8,0.351244,2915.350769,individual_pointers
8,0.401727,2548.996733,shared_pointers_non-collective
8,0.546418,1874.023904,shared_pointers_collective
8,0.514686,1989.561504,hybrid
8,0.148835,6880.110129,individual_files
8,0.304156,3366.693142,individual_pointers
8,0.375302,2728.470991,shared_pointers_non-collective
8,0.555511,1843.347578,shared_pointers_collective
8,0.528064,1939.159959,hybrid
8,0.147527,6941.086427,individual_files
8,0.364974,2805.680614,individual_pointers
8,0.408752,2505.186656,shared_pointers_non-collective
8,0.553831,1848.938002,shared_pointers_collective
8,0.522183,1960.998990,hybrid
8,0.137625,7440.488071,individual_files
8,0.330214,3101.019840,individual_pointers
8,0.391019,2618.798054,shared_pointers_non-collective
8,0.569225,1798.938185,shared_pointers_collective
8,0.523187,1957.236735,hybrid
16,0.167833,12202.616037,individual_files
16,0.572079,3579.927531,individual_pointers
16,1.217809,1681.708616,shared_pointers_non-collective
16,0.954396,2145.858872,shared_pointers_collective
16,1.184564,1728.906765,hybrid
16,0.178543,11470.628292,individual_files
16,0.586038,3494.652312,individual_pointers
16,1.485886,1378.302518,shared_pointers_non-collective
16,0.906370,2259.562058,shared_pointers_collective
16,1.140993,1794.927811,hybrid
16,0.174994,11703.267564,individual_files
16,0.588630,3479.262785,individual_pointers
16,1.046121,1957.707600,shared_pointers_non-collective
16,0.956997,2140.027270,shared_pointers_collective
16,1.156950,1770.171766,hybrid
16,0.184385,11107.209762,individual_files
16,0.609102,3362.325497,individual_pointers
16,1.136958,1801.298426,shared_pointers_non-collective
16,0.923330,2218.057671,shared_pointers_collective
16,1.146457,1786.372501,hybrid
16,0.165612,12366.220374,individual_files
16,0.648368,3158.698870,individual_pointers
16,1.086613,1884.755985,shared_pointers_non-collective
16,0.948228,2159.818799,shared_pointers_collective
16,1.175001,1742.976864,hybrid
32,0.165087,24811.148576,individual_files
32,0.963065,4253.087505,individual_pointers
32,2.748366,1490.339988,shared_pointers_non-collective
32,1.281859,3195.360236,shared_pointers_collective
32,2.543778,1610.203110,hybrid
32,0.174554,23465.452417,individual_files
32,0.884726,4629.682434,individual_pointers
32,2.418630,1693.521060,shared_pointers_non-collective
32,1.233224,3321.376475,shared_pointers_collective
32,2.536514,1614.814726,hybrid
32,0.167154,24504.309101,individual_files
32,0.923495,4435.326352,individual_pointers
32,2.987596,1371.002163,shared_pointers_non-collective
32,1.317976,3107.794901,shared_pointers_collective
32,2.508020,1633.160997,hybrid
32,0.166493,24601.589106,individual_files
32,0.893299,4585.250112,individual_pointers
32,2.991046,1369.420539,shared_pointers_non-collective
32,1.257601,3256.995570,shared_pointers_collective
32,2.498759,1639.213469,hybrid
32,0.183158,22363.222686,individual_files
32,0.926316,4421.817894,individual_pointers
32,3.026916,1353.192324,shared_pointers_non-collective
32,1.238859,3306.268244,shared_pointers_collective
32,2.563220,1597.990240,hybrid
64,0.203056,40343.575386,individual_files
64,1.697484,4825.964582,individual_pointers
64,11.733686,698.160814,shared_pointers_non-collective
64,2.197896,3727.200964,shared_pointers_collective
64,5.293021,1547.698506,hybrid
64,0.193896,42249.538871,individual_files
64,1.679074,4878.878617,individual_pointers
64,12.513585,654.648526,shared_pointers_non-collective
64,2.142056,3824.363925,shared_pointers_collective
64,5.204183,1574.118482,hybrid
64,0.202638,40426.835054,individual_files
64,1.796711,4559.441140,individual_pointers
64,11.946086,685.747590,shared_pointers_non-collective
64,2.095090,3910.094831,shared_pointers_collective
64,5.302387,1544.964603,hybrid
64,0.182018,45006.423734,individual_files
64,1.840394,4451.220809,individual_pointers
64,11.553003,709.079720,shared_pointers_non-collective
64,2.068859,3959.669833,shared_pointers_collective
64,5.416723,1512.353496,hybrid
64,0.189744,43173.881312,individual_files
64,1.708084,4796.017818,individual_pointers
64,12.055117,679.545473,shared_pointers_non-collective
64,1.968833,4160.840878,shared_pointers_collective
64,5.280606,1551.336996,hybrid
96,0.230731,53256.770023,individual_files
96,2.500629,4913.964042,individual_pointers
96,24.056362,510.800430,shared_pointers_non-collective
96,3.003374,4091.399182,shared_pointers_collective
96,7.982288,1539.408227,hybrid
96,0.176315,69693.341887,individual_files
96,2.457204,5000.806216,individual_pointers
96,24.135033,509.135423,shared_pointers_non-collective
96,2.840423,4326.116250,shared_pointers_collective
96,7.775139,1580.421995,hybrid
96,0.165681,74166.634856,individual_files
96,2.541029,4835.836957,individual_pointers
96,23.829397,515.665583,shared_pointers_non-collective
96,3.096187,3968.752622,shared_pointers_collective
96,7.754498,1584.628686,hybrid
96,0.175247,70118.343478,individual_files
96,2.449331,5016.879730,individual_pointers
96,22.461086,547.079523,shared_pointers_non-collective
96,3.098473,3965.824620,shared_pointers_collective
96,7.844244,1566.498920,hybrid
96,0.180247,68173.160864,individual_files
96,2.652138,4633.243524,individual_pointers
96,24.044314,511.056380,shared_pointers_non-collective
96,3.047869,4031.669724,shared_pointers_collective
96,7.872764,1560.824076,hybrid
