num_tasks,runtime_rank
2,54.492682
2,54.474373
6,23.120931
6,23.123232
6,23.125804
6,23.128034
6,23.130584
6,23.111969
12,11.985315
12,11.986650
12,11.987788
12,11.990143
12,11.988895
12,11.991358
12,11.992485
12,11.994772
12,11.997246
12,11.993694
12,11.996074
12,11.979866
24,6.330205
24,6.330792
24,6.331441
24,6.332468
24,6.333827
24,6.331864
24,6.333164
24,6.335036
24,6.336158
24,6.335471
24,6.337016
24,6.338313
24,6.337839
24,6.339518
24,6.340171
24,6.340565
24,6.341853
24,6.342688
24,6.343033
24,6.338975
24,6.341417
24,6.336482
24,6.321728
24,6.334168
48,3.694790
48,3.707007
48,3.707204
48,3.707972
48,3.707471
48,3.708289
48,3.708624
48,3.708978
48,3.709510
48,3.709690
48,3.710072
48,3.710573
48,3.710386
48,3.711404
48,3.711620
48,3.711957
48,3.712643
48,3.712239
48,3.712741
48,3.713173
48,3.713836
48,3.714487
48,3.714226
48,3.714973
48,3.715766
48,3.715237
48,3.714793
48,3.716217
48,3.716628
48,3.716948
48,3.717478
48,3.711020
48,3.718111
48,3.713524
48,3.717778
48,3.718751
48,3.719337
48,3.719011
48,3.720026
48,3.717152
48,3.720188
48,3.720792
48,3.719555
48,3.715877
48,3.718268
48,3.709633
48,3.694691
48,3.708940
96,2.665838
96,2.666176
96,2.665992
96,2.665837
96,2.666312
96,2.666777
96,2.666752
96,2.666669
96,2.666897
96,2.667191
96,2.667161
96,2.667633
96,2.668241
96,2.666860
96,2.668084
96,2.668270
96,2.855150
96,2.855186
96,2.854894
96,2.855119
96,2.855074
96,2.855088
96,2.855056
96,2.855031
96,2.855096
96,2.854886
96,2.855114
96,2.855171
96,2.855060
96,2.854967
96,2.855168
96,2.855243
96,2.855003
96,2.855088
96,2.855162
96,2.855328
96,2.854965
96,2.855124
96,2.855109
96,2.855315
96,2.855018
96,2.855230
96,2.855208
96,2.855308
96,2.855058
96,2.855217
96,2.855267
96,2.855191
96,2.855209
96,2.855148
96,2.855241
96,2.855136
96,2.855054
96,2.854956
96,2.855274
96,2.855328
96,2.855091
96,2.854947
96,2.855118
96,2.855056
96,2.855148
96,2.855198
96,2.855124
96,2.855292
96,2.667554
96,2.855145
96,2.854987
96,2.666164
96,2.855132
96,2.854937
96,2.855248
96,2.864092
96,2.901311
96,2.901176
96,2.900996
96,2.900852
96,2.900860
96,2.900957
96,2.855279
96,2.900933
96,2.900881
96,2.900989
96,2.901011
96,2.901056
96,2.901022
96,2.901198
96,2.901130
96,2.904855
96,2.906669
96,2.908872
96,2.915481
96,2.901302
96,2.916068
96,2.909159
96,2.901274
96,2.910785
2,54.478638
2,54.459093
6,23.113327
6,23.115552
6,23.118203
6,23.120333
6,23.122863
6,23.104018
12,11.994011
12,11.995403
12,11.996423
12,11.998765
12,12.001118
12,11.997723
12,11.999835
12,12.003541
12,12.002390
12,12.004823
12,12.005930
12,11.979495
24,6.322978
24,6.323726
24,6.324310
24,6.325335
24,6.324884
24,6.326006
24,6.326542
24,6.327733
24,6.328899
24,6.328257
24,6.329733
24,6.331116
24,6.330290
24,6.332282
24,6.333493
24,6.332998
24,6.334704
24,6.335424
24,6.335971
24,6.331775
24,6.333903
24,6.329365
24,6.313112
24,6.327169
48,3.671190
48,3.684563
48,3.684847
48,3.685433
48,3.685162
48,3.685853
48,3.686172
48,3.686790
48,3.686952
48,3.687348
48,3.687482
48,3.688193
48,3.687910
48,3.688820
48,3.689320
48,3.689016
48,3.690008
48,3.690267
48,3.690660
48,3.689759
48,3.691465
48,3.691888
48,3.691710
48,3.692768
48,3.692966
48,3.693383
48,3.692162
48,3.693987
48,3.694633
48,3.694050
48,3.695090
48,3.690988
48,3.695614
48,3.688556
48,3.695393
48,3.696315
48,3.696583
48,3.696946
48,3.697562
48,3.694652
48,3.697304
48,3.697892
48,3.698056
48,3.696064
48,3.693492
48,3.687166
48,3.680696
48,3.686311
96,2.727656
96,2.727975
96,2.727867
96,2.727402
96,2.728139
96,2.728494
96,2.728807
96,2.728917
96,2.729245
96,2.729407
96,2.729159
96,2.729880
96,2.729006
96,2.759316
96,2.759520
96,2.860044
96,2.859978
96,2.859751
96,2.859857
96,2.859906
96,2.859913
96,2.730098
96,2.859892
96,2.859856
96,2.860026
96,2.859897
96,2.860054
96,2.859752
96,2.860140
96,2.860119
96,2.860016
96,2.859887
96,2.859948
96,2.859969
96,2.859942
96,2.860015
96,2.859947
96,2.859927
96,2.859933
96,2.859802
96,2.729709
96,2.728108
96,2.859924
96,2.925752
96,2.960313
96,2.960394
96,2.960325
96,2.960530
96,2.960181
96,2.960398
96,2.960537
96,2.960442
96,2.960485
96,2.960368
96,2.960560
96,2.960241
96,2.960538
96,2.960302
96,2.960270
96,2.960364
96,2.960410
96,2.960235
96,2.960393
96,2.960258
96,2.960433
96,2.960394
96,2.960321
96,2.960236
96,2.960320
96,2.960323
96,2.960314
96,2.960216
96,2.961898
96,2.961839
96,2.960231
96,2.960452
96,2.960639
96,2.960399
96,2.961836
96,2.962084
96,2.960453
96,2.961813
96,2.960282
96,2.962827
96,2.960274
96,2.962081
96,2.759415
96,2.966488
96,2.967907
96,2.970963
96,2.961965
96,2.977914
96,2.978437
96,2.971512
96,2.962013
96,2.963703
2,54.307147
2,54.288732
6,23.132727
6,23.135023
6,23.137391
6,23.139807
6,23.142293
6,23.124218
12,11.987816
12,11.988905
12,11.990043
12,11.992461
12,11.994726
12,11.991234
12,11.993574
12,11.997235
12,11.995816
12,11.998288
12,11.999621
12,11.981134
24,6.310915
24,6.311429
24,6.312145
24,6.313403
24,6.312586
24,6.313762
24,6.314583
24,6.315892
24,6.316330
24,6.316980
24,6.317537
24,6.318407
24,6.318844
24,6.320100
24,6.321012
24,6.321498
24,6.322700
24,6.319662
24,6.322265
24,6.323381
24,6.323913
24,6.317037
24,6.307602
24,6.315053
48,3.687164
48,3.700125
48,3.700348
48,3.700910
48,3.700845
48,3.701438
48,3.701534
48,3.702104
48,3.702773
48,3.702628
48,3.703010
48,3.703634
48,3.703545
48,3.704248
48,3.704843
48,3.704757
48,3.705514
48,3.706127
48,3.706273
48,3.705313
48,3.707049
48,3.707539
48,3.707128
48,3.708211
48,3.708898
48,3.708432
48,3.707749
48,3.709526
48,3.709741
48,3.710106
48,3.710773
48,3.706470
48,3.704144
48,3.711313
48,3.711198
48,3.711965
48,3.712441
48,3.712726
48,3.713356
48,3.713718
48,3.714020
48,3.713070
48,3.710521
48,3.709115
48,3.711728
48,3.703026
48,3.688123
48,3.702034
96,2.696181
96,2.696397
96,2.696099
96,2.695688
96,2.696473
96,2.696859
96,2.697243
