num_tasks,runtime_rank
2,41.405886
2,41.517867
6,1.738559
6,1.744465
6,14.345789
6,14.399356
6,26.755835
6,26.789663
12,0.133826
12,0.140361
12,1.613088
12,1.616754
12,5.456202
12,5.493197
12,8.904908
12,8.916823
12,11.745257
12,11.766085
12,15.001710
12,15.055571
24,0.009550
24,0.013730
24,0.124316
24,0.132755
24,0.784487
24,0.791245
24,0.825766
24,0.827570
24,1.701059
24,1.727325
24,3.755125
24,3.767035
24,4.162045
24,4.168622
24,4.746907
24,4.749287
24,5.156119
24,5.157442
24,6.589708
24,6.605138
24,7.300792
24,7.302701
24,7.704344
24,7.740750
48,0.004300
48,0.007230
48,0.006366
48,0.007348
48,0.021873
48,0.026797
48,0.103565
48,0.104142
48,0.338447
48,0.345342
48,0.363689
48,0.369889
48,0.446102
48,0.447696
48,0.458105
48,0.459111
48,0.468890
48,0.488040
48,1.230987
48,1.246364
48,1.801596
48,1.802928
48,1.964314
48,1.968533
48,1.980829
48,1.981705
48,2.187996
48,2.195035
48,2.281202
48,2.281453
48,2.462817
48,2.471256
48,2.506736
48,2.509127
48,2.640473
48,2.647219
48,3.185560
48,3.209147
48,3.411570
48,3.412254
48,3.610814
48,3.627138
48,3.686613
48,3.689581
48,3.776720
48,3.779949
48,3.939480
48,3.966662
96,0.001871
96,0.002042
96,0.002069
96,0.001870
96,0.002335
96,0.002187
96,0.003414
96,0.010595
96,0.012090
96,0.021807
96,0.044716
96,0.051893
96,0.054457
96,0.062423
96,0.112289
96,0.113082
96,0.131790
96,0.132976
96,0.173288
96,0.176204
96,0.202195
96,0.203204
96,0.206411
96,0.210802
96,0.215047
96,0.220689
96,0.223063
96,0.223862
96,0.227434
96,0.230450
96,0.232815
96,0.233651
96,0.236926
96,0.321810
96,0.481376
96,0.517597
96,0.633253
96,0.638969
96,0.732688
96,0.787086
96,0.922264
96,0.924758
96,0.963357
96,0.966152
96,0.966720
96,0.968493
96,0.970467
96,0.974085
96,0.975746
96,0.984914
96,0.991881
96,1.006134
96,1.066290
96,1.089827
96,1.102373
96,1.104714
96,1.120108
96,1.126125
96,1.128549
96,1.137085
96,1.185643
96,1.205657
96,1.215723
96,1.226730
96,1.229282
96,1.238370
96,1.264364
96,1.268679
96,1.282853
96,1.294900
96,1.348069
96,1.386174
96,1.528223
96,1.561787
96,1.621073
96,1.625683
96,1.641369
96,1.653217
96,1.698254
96,1.709030
96,1.762372
96,1.771951
96,1.775285
96,1.776152
96,1.794618
96,1.801847
96,1.811338
96,1.814738
96,1.821101
96,1.829174
96,1.874501
96,1.892522
96,1.921419
96,1.923017
96,1.929217
96,1.975892
2,41.428190
2,41.539516
6,1.738467
6,1.744573
6,14.345685
6,14.412256
6,26.732375
6,26.788101
12,0.134359
12,0.138807
12,1.618373
12,1.658525
12,5.472145
12,5.497629
12,8.930461
12,8.947885
12,11.748281
12,11.762852
12,15.046208
12,15.061248
24,0.009525
24,0.013722
24,0.120639
24,0.130460
24,0.794951
24,0.797126
24,0.821243
24,0.827058
24,1.701394
24,1.730001
24,3.757704
24,3.766105
24,4.163663
24,4.167745
24,4.743122
24,4.753689
24,5.159593
24,5.161348
24,6.589834
24,6.603865
24,7.297589
24,7.310486
24,7.703638
24,7.742959
48,0.004297
48,0.005229
48,0.005224
48,0.006381
48,0.019791
48,0.021961
48,0.103787
48,0.109542
48,0.338197
48,0.344649
48,0.363696
48,0.366731
48,0.445949
48,0.457739
48,0.457738
48,0.469217
48,0.479302
48,0.501837
48,1.230724
48,1.243447
48,1.791152
48,1.820267
48,1.972067
48,1.975917
48,1.988724
48,1.995736
48,2.179040
48,2.185344
48,2.281275
48,2.281771
48,2.461063
48,2.471198
48,2.515245
48,2.518787
48,2.654042
48,2.658247
48,3.200221
48,3.208960
48,3.414827
48,3.435829
48,3.611558
48,3.615716
48,3.696107
48,3.699117
48,3.787118
48,3.794310
48,3.964921
48,3.975138
96,0.001868
96,0.002346
96,0.002209
96,0.002788
96,0.003022
96,0.002829
96,0.003422
96,0.008598
96,0.012125
96,0.025755
96,0.046633
96,0.052907
96,0.053969
96,0.055485
96,0.107885
96,0.110616
96,0.140910
96,0.143461
96,0.166768
96,0.183159
96,0.203865
96,0.205918
96,0.206946
96,0.215734
96,0.216322
96,0.220929
96,0.222248
96,0.222305
96,0.224465
96,0.225518
96,0.228632
96,0.234620
96,0.244458
96,0.308883
96,0.481371
96,0.524274
96,0.624953
96,0.640823
96,0.730901
96,0.780905
96,0.909519
96,0.919446
96,0.953712
96,0.955426
96,0.957198
96,0.962223
96,0.963618
96,0.967811
96,0.968634
96,0.968801
96,0.998775
96,1.011777
96,1.083637
96,1.084610
96,1.104817
96,1.113186
96,1.120421
96,1.125415
96,1.140091
96,1.148444
96,1.175793
96,1.205936
96,1.223318
96,1.225258
96,1.226453
96,1.228228
96,1.260418
96,1.262416
96,1.290855
96,1.300831
96,1.351590
96,1.386291
96,1.528057
96,1.563511
96,1.626222
96,1.645298
96,1.659037
96,1.668526
96,1.701521
96,1.708950
96,1.775501
96,1.775522
96,1.777870
96,1.783147
96,1.798924
96,1.810173
96,1.811515
96,1.813695
96,1.815996
96,1.821384
96,1.878690
96,1.912484
96,1.914917
96,1.915081
96,1.943818
96,1.970126
2,41.431241
2,41.540349
6,1.738505
6,1.744424
6,14.343664
6,14.397820
6,26.729408
6,26.789697
12,0.133726
12,0.150946
12,1.628390
12,1.631667
12,5.456761
12,5.515606
12,8.913123
12,8.918935
12,11.737981
12,11.758840
12,15.023094
12,15.040879
24,0.009607
24,0.013764
24,0.124269
24,0.133550
24,0.784271
24,0.799626
24,0.825673
24,0.830175
24,1.700225
24,1.734855
24,3.755219
24,3.772195
24,4.161131
24,4.169673
24,4.746779
24,4.747027
24,5.147303
24,5.167859
24,6.588971
24,6.615280
24,7.298397
24,7.314181
24,7.704877
24,7.746033
48,0.006347
48,0.007420
48,0.006355
48,0.007405
48,0.021992
48,0.024425
48,0.100858
48,0.112805
48,0.339192
48,0.345270
48,0.366657
48,0.367711
48,0.455816
48,0.460555
48,0.462615
48,0.464548
48,0.469617
48,0.490525
48,1.240480
48,1.246784
48,1.790954
48,1.803474
48,1.964330
48,1.970172
48,1.984050
48,1.989617
48,2.185946
48,2.189354
48,2.281501
48,2.281352
48,2.457130
48,2.471205
48,2.506100
48,2.508465
48,2.647073
48,2.650479
48,3.188425
48,3.198444
48,3.404616
48,3.408285
48,3.614783
48,3.615130
48,3.687060
48,3.688527
48,3.774500
48,3.789276
48,3.930840
48,3.971432
96,0.001857
96,0.002110
96,0.002069
96,0.002332
96,0.001866
96,0.002199
96,0.002411
96,0.007706
96,0.012098
96,0.023894
96,0.046546
96,0.050837
96,0.052032
96,0.054039
96,0.101684
96,0.110398
96,0.131990
96,0.139758
96,0.176147
96,0.195428
96,0.200315
96,0.193848
96,0.204737
96,0.212817
96,0.213229
96,0.214663
96,0.219622
96,0.220698
96,0.222401
96,0.229762
96,0.230263
96,0.231403
96,0.250313
96,0.329945
96,0.487069
96,0.518351
96,0.615093
96,0.635427
96,0.731152
96,0.796249
96,0.908674
96,0.919940
96,0.953804
96,0.955740
96,0.957186
96,0.964375
96,0.967726
96,0.972589
96,0.978060
96,0.985766
96,0.991948
96,1.009119
96,1.073363
96,1.090278
96,1.102540
96,1.104216
96,1.114390
96,1.128599
96,1.129150
96,1.140645
96,1.182136
96,1.206696
96,1.216130
96,1.229332
96,1.229978
96,1.236412
96,1.260013
96,1.272482
96,1.282922
96,1.299031
96,1.358206
96,1.386857
96,1.528027
96,1.562961
96,1.627135
96,1.635845
96,1.647235
96,1.655007
96,1.707565
96,1.709398
96,1.767638
96,1.772551
96,1.776660
96,1.783953
96,1.794634
96,1.808014
96,1.816608
96,1.819185
96,1.821201
96,1.826956
96,1.873434
96,1.902047
96,1.920820
96,1.925079
96,1.937919
96,1.969989
2,41.409928
2,41.526922
6,1.738932
6,1.744492
6,14.344018
6,14.399651
6,26.722355
6,26.785410
12,0.130084
12,0.142845
12,1.609450
12,1.624592
12,5.454944
12,5.504834
12,8.909833
12,8.912964
12,11.738203
12,11.765561
12,15.001106
12,15.052020
24,0.013696
24,0.013828
24,0.120617
24,0.124413
24,0.784111
24,0.794962
24,0.825696
24,0.830395
24,1.701119
24,1.730103
24,3.755807
24,3.776505
24,4.170042
24,4.176564
24,4.747270
24,4.750422
24,5.155795
24,5.166039
24,6.589881
24,6.611799
24,7.297538
24,7.308768
24,7.707282
24,7.745989
48,0.004323
48,0.004332
48,0.005237
48,0.005219
48,0.019941
48,0.022026
48,0.100927
48,0.102871
48,0.338287
48,0.344336
48,0.364620
48,0.371570
48,0.446070
48,0.447830
48,0.462759
48,0.467859
48,0.469117
48,0.485078
48,1.235653
48,1.245793
48,1.799767
48,1.807125
48,1.964286
48,1.965801
48,1.980398
48,1.987082
48,2.179141
48,2.185198
48,2.281361
48,2.281878
48,2.460897
48,2.471918
48,2.506065
48,2.540450
48,2.639589
48,2.646674
48,3.197096
48,3.199654
48,3.408496
48,3.424387
48,3.615947
48,3.637956
48,3.687372
48,3.704488
48,3.785593
48,3.792122
48,3.949134
48,3.966353
96,0.002046
96,0.002745
96,0.002381
96,0.003044
96,0.002828
96,0.003358
96,0.003199
96,0.009026
96,0.012161
96,0.025708
96,0.044345
96,0.051723
96,0.054006
96,0.054605
96,0.103793
96,0.111026
96,0.131775
96,0.139325
96,0.176157
96,0.176815
96,0.193018
96,0.201154
96,0.207658
96,0.214288
96,0.216703
96,0.220045
96,0.221501
96,0.222798
96,0.230116
96,0.232962
96,0.233942
96,0.236546
96,0.243428
96,0.303404
96,0.481715
96,0.518125
96,0.614791
96,0.635352
96,0.730904
96,0.775490
96,0.921013
96,0.921442
96,0.955599
96,0.961627
96,0.962176
96,0.963193
96,0.968805
96,0.974114
96,0.974594
96,0.975221
96,0.992129
96,1.000566
96,1.070009
96,1.082888
96,1.101747
96,1.104487
96,1.122067
96,1.133332
96,1.135934
96,1.151081
96,1.175344
96,1.206257
96,1.216758
96,1.219636
96,1.225346
96,1.235451
96,1.260843
96,1.263530
96,1.282445
96,1.295799
96,1.347902
96,1.385927
96,1.529571
96,1.566449
96,1.625553
96,1.637310
96,1.652922
96,1.663010
96,1.697645
96,1.709116
96,1.761852
96,1.771273
96,1.784635
96,1.792255
96,1.795110
96,1.809719
96,1.810603
96,1.829399
96,1.837361
96,1.873403
96,1.886577
96,1.892499
96,1.914251
96,1.926758
96,1.978029
96,2.016586
2,41.379302
2,41.485460
6,1.738779
6,1.744825
6,14.345421
6,14.405866
6,26.763404
6,26.788874
12,0.138701
12,0.141031
12,1.612091
12,1.614044
12,5.467294
12,5.504323
12,8.909552
12,8.914482
12,11.749374
12,11.770234
12,15.034054
12,15.064021
24,0.013820
24,0.013910
24,0.120666
24,0.124344
24,0.784172
24,0.805637
24,0.825765
24,0.826979
24,1.704199
24,1.727173
24,3.755206
24,3.767289
24,4.165022
24,4.170378
24,4.736297
24,4.747796
24,5.146693
24,5.155929
24,6.590241
24,6.616306
24,7.297757
24,7.317862
24,7.704025
24,7.752432
48,0.004322
48,0.006362
48,0.007414
48,0.007410
48,0.019899
48,0.022049
48,0.105305
48,0.109934
48,0.338226
48,0.353122
48,0.364366
48,0.366917
48,0.446105
48,0.448322
48,0.458923
48,0.466548
48,0.470496
48,0.485005
48,1.230841
48,1.244516
48,1.790898
48,1.802945
48,1.968149
48,1.972108
48,1.986905
48,1.987300
48,2.184423
48,2.186441
48,2.282623
48,2.289072
48,2.455330
48,2.470706
48,2.508063
48,2.516394
48,2.639537
48,2.648836
48,3.185480
48,3.198880
48,3.408883
48,3.410386
48,3.615830
48,3.629129
48,3.686130
48,3.698216
48,3.774115
48,3.786710
48,3.931219
48,3.966153
96,0.002045
96,0.002072
96,0.002347
96,0.001867
96,0.002382
